고유번호,법정동코드,공시지가,원천시도시군구코드
4413110700105850000,4413110700,807600,44130
4413110700105880000,4413110700,611900,44130
4413110700105910000,4413110700,516900,44130
4413110700105930000,4413110700,511100,44130
4413110700105960000,4413110700,818200,44130
4413110700105960000,4413110700,554900,44130
4413110700105970000,4413110700,608200,44130
4413110700106000000,4413110700,1089000,44130
4413110700106010000,4413110700,1069000,44130
4413110700106270000,4413110700,1128000,44130
4413110700106300000,4413110700,509800,44130
4413110700106330000,4413110700,605000,44130
4413110700106350000,4413110700,490400,44130
4413110700106380000,4413110700,679900,44130
4413110700106420000,4413110700,605000,44130
4413110700106450000,4413110700,504400,44130
4413110700106450000,4413110700,686600,44130
4413110700106500000,4413110700,985700,44130
4413110700106520000,4413110700,672600,44130
4413110800100120000,4413110800,177800,44130
4413110800100180000,4413110800,361800,44130
4413110800100190000,4413110800,481600,44130
4413110800100240000,4413110800,73800,44130
4413110800100270000,4413110800,214600,44130
4413110800100710000,4413110800,298300,44130
4413110800100760000,4413110800,302300,44130
4413110800100770000,4413110800,188900,44130
4413110800100820000,4413110800,158500,44130
4413110800100970000,4413110800,369500,44130
4413110800101030000,4413110800,220500,44130
4413110800101410000,4413110800,261600,44130
4413110800101420000,4413110800,352000,44130
4413110800101440000,4413110800,234800,44130
4413110800101460000,4413110800,190100,44130
4413110800101500000,4413110800,115700,44130
4413110800101510000,4413110800,209200,44130
4413110800101520000,4413110800,304700,44130
4413110800101550000,4413110800,1197000,44130
4413110800101630000,4413110800,133500,44130
4413110800101880000,4413110800,315500,44130
4413110800102180000,4413110800,166400,44130
4413110800102260000,4413110800,354900,44130
4413110800102500000,4413110800,684800,44130
4413110800102590000,4413110800,1183000,44130
4413110800102650000,4413110800,186100,44130
4413110800102650000,4413110800,225200,44130
4413110800102820000,4413110800,442000,44130
4413110800102980000,4413110800,925600,44130
4413110800103000000,4413110800,612400,44130
4413110800103090000,4413110800,1258000,44130
4413110800103140000,4413110800,1290000,44130
4413110800103140000,4413110800,623500,44130
4413110800103880000,4413110800,519200,44130
4413110800104260000,4413110800,1019000,44130
4413110800104290000,4413110800,587100,44130
4413110800104310000,4413110800,779200,44130
4413110800104320000,4413110800,1139000,44130
4413110800104330000,4413110800,709000,44130
4413110800104350000,4413110800,696200,44130
4413110800104390000,4413110800,719300,44130
4413110800104450000,4413110800,743200,44130
4413110800104460000,4413110800,709900,44130
4413110800104470000,4413110800,745600,44130
4413110800104610000,4413110800,924600,44130
4413110800104640000,4413110800,1495000,44130
4413110800104660000,4413110800,760100,44130
4413110800104660000,4413110800,692600,44130
4413110800104670000,4413110800,1258000,44130
4413110800104690000,4413110800,1277000,44130
4413110800104720000,4413110800,689500,44130
4413110800104730000,4413110800,792000,44130
4413110800104800000,4413110800,1310000,44130
4413110800104810000,4413110800,647400,44130
4413110800104830000,4413110800,1262000,44130
4413110800104840000,4413110800,671300,44130
4413110800200140000,4413110800,18400,44130
4413110900101820000,4413110900,586300,44130
